ID,classID,capa,magnet,thermal,yobi,teikaku,hanni,ct,main,star_s,star_d,delta
56,2,0.4,MSO-T10,T-18(25),1.3,7,1～1.6,NULL,NULL,NULL,NULL,NULL
57,2,0.55,MSO-T10,T-18(25),1.3,7,1～1.6,NULL,NULL,NULL,NULL,NULL
58,2,0.75,MSO-T10,T-18(25),1.7,7,1.4～2,NULL,NULL,NULL,NULL,NULL
59,2,1,MSO-T10,T-18(25),2.5,7,2～3,NULL,NULL,NULL,NULL,NULL
60,2,1.5,MSO-T10,T-18(25),3.6,7,2.8～4.4,NULL,NULL,NULL,NULL,NULL
61,2,1.9,MSO-T10,T-18(25),5,7,4～6,NULL,NULL,NULL,NULL,NULL
62,2,2.2,MSO-T10,T-18(25),5,7,4～6,NULL,NULL,NULL,NULL,NULL
63,2,2.5,MSO-T10,T-18(25),5,7,4～6,NULL,NULL,NULL,NULL,NULL
64,2,3.0,MSO-T12,T-18(25),6.6,9,5.2～8,NULL,NULL,NULL,NULL,NULL
65,2,3.7,MSO-T12,T-18(25),6.6,9,5.2～8,NULL,NULL,NULL,NULL,NULL
66,2,5.5,MSO-T21,T-18(25),11,18,9～13,NULL,S-T12,S-T10,NULL,S-T12
67,2,7.5,MSO-T21,T-18(25･65),15,18,12～18,NULL,S-T20,S-T10,NULL,S-T20
68,2,9,MSO-T35,T-18(25･65),15,32,12～18,NULL,S-T20,S-T12,NULL,S-T20
69,2,11,MSO-T35,T-25(65),22,32,18～26,NULL,S-T20,S-T12,NULL,S-T20
70,2,15,MSO-T35,T-50(65),29,32,24～34,NULL,S-T21,S-T20,NULL,S-T21
71,2,18.5,MSO-T50,T-50(65),35,48,30～40,NULL,S-T25,S-T20,NULL,S-T25
72,2,22,MSO-T50,T-50(65),42,48,34～50,NULL,S-T35,S-T20,NULL,S-T35
73,2,30,MSO-T65,T-65,54,65,43～65,NULL,S-T50,S-T25,NULL,S-T50
74,2,37,MSO-T80,T-100,67,80,54～80,NULL,S-T50,S-T35,NULL,S-T50
75,2,45,MSO-T100,T-100,82,93,65～100,NULL,S-T65,S-T35,NULL,S-T65
76,2,50,MSO-N125,NULL,105,120,85～125,NULL,S-T65,S-T50,NULL,S-T65
77,2,55,MSO-N125,NULL,105,120,85～125,NULL,S-T65,S-T50,NULL,S-T65
78,2,60,MSO-N125,NULL,105,120,85～125,NULL,S-T100,S-T65,NULL,S-T100
79,2,75,MSO-N150,NULL,125,150,100～150,NULL,S-T100,S-T65,NULL,S-T100
80,2,90,MSO-N180,NULL,150,180,120～180,NULL,S-N125,S-T65,NULL,S-N125
81,2,110,MSO-N220,NULL,180,220,140～220,NULL,S-N150,S-T80,NULL,S-N150
82,2,132,MSO-N300,NULL,250,300,200～300,NULL,S-N180,S-T100,NULL,S-N180
83,2,150,MSO-N300,NULL,250,300,200～300,NULL,S-N220,S-N125,NULL,S-N220
84,2,160,MSO-N400,NULL,250,400,200～300,NULL,S-N220,S-N150,NULL,S-N220
85,2,200,MSO-N400,NULL,330,400,260～400,NULL,S-N300,S-N150,NULL,S-N300
86,2,250,MSO-N400,NULL,500,400,400～600,NULL,S-N300,S-N180,NULL,S-N300
87,2,300,MSO-N600,NULL,500,630,520～800,NULL,S-N400,S-N220,NULL,S-N400
88,2,400,MSO-N800,NULL,660,800,NULL,NULL,NULL,NULL,NULL,NULL
