ID,classID,syadan
1,1,1.5
2,1,2.5
3,1,5
4,1,7.5
5,1,10
6,1,15
7,1,25
8,1,30
9,1,36
10,1,50
11,1,85
12,1,100
13,1,150
14,1,170
15,1,200
16,2,1.5
17,2,2.5
18,2,7.5
19,2,10
20,2,25
21,2,30
22,2,36
23,2,45
24,2,50
25,2,70
26,2,125
27,2,150
28,2,200
29,1,125
