ID,cate
1,VCT
2,VCTF
3,CV
4,CVV
5,CVV-S
6,CVT
7,1CT
8,2CT
9,2PNCT
10,MLFC
11,WL1
12,KPEV
13,CPEV
14,IV
15,VSF
16,KIV
17,HIV
18,CC-Link
19,ﾛｰﾄﾞｾﾙ
20,VVF
21,VVR
