ID,classID,class,kW,zenfuka,heater_A,kidoID,kido,syadanID,syadan,bunki
103,1,200V,200,720,600,1,直入,5,10,☆
104,1,200V,0.1,0.7,0.7,1,直入,6,15,"NF63-SV (3)"
105,1,200V,0.2,1.2,1.3,1,直入,6,15,"NF63-SV (3)"
106,1,200V,0.4,2.1,2.1,1,直入,6,15,"NF63-SV 5"
107,1,200V,0.75,3.7,3.6,1,直入,6,15,"NF63-SV 10"
108,1,200V,1.5,6.4,6.6,1,直入,6,15,"NF63-SV 15"
109,1,200V,2.2,9.1,9,1,直入,6,15,"NF63-SV 20"
110,1,200V,3.7,15,15,1,直入,6,15,"NF63-SV 30"
111,1,200V,5.5,22,22,1,直入,6,15,"NF63-SV 50"
112,1,200V,7.5,29,29,1,直入,6,15,"NF63-SV 60"
113,1,200V,11,44,42,1,直入,6,15,☆
114,1,200V,15,55,54,1,直入,6,15,☆
115,1,200V,18.5,67,67,1,直入,6,15,☆
116,1,200V,22,85,82,1,直入,6,15,☆
117,1,200V,30,110,105,1,直入,6,15,☆
118,1,200V,37,130,125,1,直入,6,15,☆
119,1,200V,45,164,150,1,直入,6,15,☆
120,1,200V,55,195,180,1,直入,6,15,☆
121,1,200V,75,267,250,1,直入,6,15,☆
122,1,200V,90,320,330,1,直入,6,15,☆
123,1,200V,110,385,330,1,直入,6,15,☆
124,1,200V,132,470,500,1,直入,6,15,☆
125,1,200V,160,580,500,1,直入,6,15,☆
126,1,200V,200,720,600,1,直入,6,15,☆
127,1,200V,0.1,0.7,0.7,1,直入,7,25,"NF63-HV (10)"
128,1,200V,0.2,1.2,1.3,1,直入,7,25,"NF63-HV (10)"
129,1,200V,0.4,2.1,2.1,1,直入,7,25,"NF63-HV 10"
130,1,200V,0.75,3.7,3.6,1,直入,7,25,"NF63-HV 10"
131,1,200V,1.5,6.4,6.6,1,直入,7,25,"NF63-HV 15"
132,1,200V,2.2,9.1,9,1,直入,7,25,"NF63-HV 20"
133,1,200V,3.7,15,15,1,直入,7,25,"NF63-HV 30"
134,1,200V,5.5,22,22,1,直入,7,25,"NF63-HV 50"
135,1,200V,7.5,29,29,1,直入,7,25,"NF63-HV 60"
136,1,200V,11,44,42,1,直入,7,25,☆
137,1,200V,15,55,54,1,直入,7,25,☆
138,1,200V,18.5,67,67,1,直入,7,25,☆
139,1,200V,22,85,82,1,直入,7,25,☆
140,1,200V,30,110,105,1,直入,7,25,☆
141,1,200V,37,130,125,1,直入,7,25,☆
142,1,200V,45,164,150,1,直入,7,25,☆
143,1,200V,55,195,180,1,直入,7,25,☆
144,1,200V,75,267,250,1,直入,7,25,☆
145,1,200V,90,320,330,1,直入,7,25,☆
146,1,200V,110,385,330,1,直入,7,25,☆
147,1,200V,132,470,500,1,直入,7,25,☆
148,1,200V,160,580,500,1,直入,7,25,☆
149,1,200V,200,720,600,1,直入,7,25,☆
150,1,200V,0.1,0.7,0.7,1,直入,8,30,☆
151,1,200V,0.2,1.2,1.3,1,直入,8,30,☆
152,1,200V,0.4,2.1,2.1,1,直入,8,30,☆
153,1,200V,0.75,3.7,3.6,1,直入,8,30,☆
154,1,200V,1.5,6.4,6.6,1,直入,8,30,☆
155,1,200V,2.2,9.1,9,1,直入,8,30,☆
156,1,200V,3.7,15,15,1,直入,8,30,☆
157,1,200V,5.5,22,22,1,直入,8,30,"NF125-CV 50"
158,1,200V,7.5,29,29,1,直入,8,30,"NF125-CV 60"
159,1,200V,11,44,42,1,直入,8,30,"NF125-CV 75"
160,1,200V,15,55,54,1,直入,8,30,"NF125-CV 100"
161,1,200V,18.5,67,67,1,直入,8,30,"NF125-CV 100"
162,1,200V,22,85,82,1,直入,9,36,"NF250-CV 150"
163,1,200V,30,110,105,1,直入,9,36,"NF250-CV 175"
164,1,200V,37,130,125,1,直入,9,36,"NF250-CV 225"
165,1,200V,45,164,150,1,直入,8,30,☆
166,1,200V,55,195,180,1,直入,8,30,☆
167,1,200V,75,267,250,1,直入,8,30,☆
168,1,200V,90,320,330,1,直入,8,30,☆
169,1,200V,110,385,330,1,直入,8,30,☆
170,1,200V,132,470,500,1,直入,8,30,☆
171,1,200V,160,580,500,1,直入,8,30,☆
172,1,200V,200,720,600,1,直入,8,30,☆
173,1,200V,0.1,0.7,0.7,1,直入,10,50,"NF125-SV (15)"
174,1,200V,0.2,1.2,1.3,1,直入,10,50,"NF125-SV (15)"
175,1,200V,0.4,2.1,2.1,1,直入,10,50,"NF125-SV (15)"
176,1,200V,0.75,3.7,3.6,1,直入,10,50,"NF125-SV (15)"
177,1,200V,1.5,6.4,6.6,1,直入,10,50,"NF125-SV (15)"
178,1,200V,2.2,9.1,9,1,直入,10,50,"NF125-SV 20"
179,1,200V,3.7,15,15,1,直入,10,50,"NF125-SV 30"
180,1,200V,5.5,22,22,1,直入,10,50,"NF125-SV 50"
181,1,200V,7.5,29,29,1,直入,10,50,"NF125-SV 60"
182,1,200V,11,44,42,1,直入,10,50,"NF125-SV 75"
183,1,200V,15,55,54,1,直入,10,50,"NF125-SV 100"
184,1,200V,18.5,67,67,1,直入,10,50,"NF125-SV 100"
185,1,200V,22,85,82,1,直入,10,50,☆
186,1,200V,30,110,105,1,直入,10,50,☆
187,1,200V,37,130,125,1,直入,10,50,☆
188,1,200V,45,164,150,1,直入,10,50,"NF400-CW 350"
189,1,200V,55,195,180,1,直入,10,50,"NF630-CW 500"
190,1,200V,75,267,250,1,直入,10,50,"NF630-CW 600"
191,1,200V,90,320,330,1,直入,10,50,"NF800-CEW 600"
192,1,200V,110,385,330,1,直入,10,50,"NF800-CEW 600"
