ID,kana,name,cateID
96,ｲｼｶﾜｴｲｾﾞﾝ,石川営繕,1
97,ｱｲｼﾞｰﾕｰ,ｱｲｼﾞｰﾕｰ,1
98,ﾐﾖｷｱｷﾗ,三與木輝,1
99,ｿﾉﾀ,その他,1
100,ﾉｱｲﾕｶ,野間由佳,1
101,ﾀﾏﾀﾞｺｳｲﾁ,玉田貢一,1
102,ﾀﾏﾀﾞﾅｵｺ,玉田奈緒子,1
103,－－－,(SPACE),0
104,－－－,(SPACE),0
116,－－－,(SPACE),0
117,－－－,(SPACE),0
118,－－－,(SPACE),0
119,－－－,(SPACE),0
120,ﾎﾝﾀﾞｶｰｽﾞ,ﾎﾝﾀﾞｶｰｽﾞ,12
121,ﾆｯｻﾝ,日産,12
122,－－－,(SPACE),0
123,－－－,(SPACE),0
124,－－－,(SPACE),0
125,－－－,(SPACE),0
126,－－－,(SPACE),0
127,－－－,(SPACE),0
